Sample	samtools_stats-error_rate	samtools_stats-non_primary_alignments	samtools_stats-reads_mapped	samtools_stats-reads_mapped_percent	samtools_stats-reads_properly_paired_percent	samtools_stats-reads_MQ0_percent	samtools_stats-raw_total_sequences	samtools_stats-insert_size_average	bowtie_2_hisat2-overall_alignment_rate	fastp-pct_duplication	fastp-after_filtering_q30_rate	fastp-after_filtering_q30_bases	fastp-filtering_result_passed_filter_reads	fastp-after_filtering_gc_content	fastp-pct_surviving	fastp-pct_adapter
batch1	0.16133219999999998	0.005673999999999999	0.08746999999999999	99.88352441419633	99.2303475996894	0.037683277760014615	0.087572	167.6	99.88							
batch1_chrI										0.0	92.789	7.646369	0.087572	43.4066	99.40068104426788	1.4540295119182747
batch2	0.15046669999999998	0.007338	0.11968	99.89983305509182	99.43238731218698	0.025041736227045072	0.11979999999999999	172.8	99.9							
batch2_chrI										0.00166945	92.8877	10.576803	0.11979999999999999	43.4321	100.0	0.6327212020033388
batch3	0.1617934	0.006025	0.092903	99.85489799866721	99.25191857090651	0.03976869666157914	0.093038	168.8	99.85							
batch3_chrI										0.00427579	92.75290000000001	8.094282	0.093038	43.5857	99.45269909139498	1.350080171031534
chem1	0.2607337	0.005683	0.07654799999999999	99.866927592955	98.92759295499022	0.04174820613176777	0.07665	166.1	99.87							
chem1_chrI										0.005218530000000001	92.9436	6.735215999999999	0.07665	43.4115	100.0	0.6836268754076973
chem2	0.24733860000000002	0.006842	0.094215	99.88444086340698	99.04796234256393	0.03392561808235443	0.09432399999999999	172.7	99.88							
chem2_chrI										0.0	93.1114	8.358883	0.09432399999999999	43.3397	100.0	0.5110046223654637
chem3	0.2454699	0.007703	0.113603	99.88833201442013	99.05741668864856	0.029016090741229225	0.11373	172.3	99.89							
chem3_chrI										0.00175855	93.136	10.067611999999999	0.11373	43.364999999999995	100.0	0.5715290600545151
